City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Dhone,IN,15.4167,77.8833,77.76,71,20,5.61,few clouds
79,Lac Du Bonnet,CA,50.2536,-96.0612,39.16,82,100,11.54,overcast clouds
80,Avarua,CK,-21.2078,-159.775,82.45,83,20,4.61,few clouds
81,Balkanabat,TM,39.5108,54.3671,49.96,69,100,3.71,overcast clouds
82,Dubai,AE,25.2582,55.3047,80.53,24,0,5.75,clear sky
83,Port-Gentil,GA,-0.7193,8.7815,80.38,83,78,8.32,light rain
84,Shirokiy,RU,49.758,129.523,28.2,94,100,13.6,light snow
85,Georgetown,MY,5.4112,100.3354,80.53,83,20,0.0,few clouds
86,Whyalla,AU,-33.0333,137.5833,64.29,55,0,13.8,clear sky
87,Albany,US,42.6001,-73.9662,43.21,84,100,2.19,overcast clouds
88,Takoradi,GH,4.8845,-1.7554,80.74,83,38,4.97,scattered clouds
89,Atherton,GB,53.5237,-2.4935,50.77,74,97,1.01,overcast clouds
90,Kyenjojo,UG,0.6328,30.6214,60.1,95,30,2.13,light rain
91,Gravelbourg,CA,49.8834,-106.5512,39.25,50,56,22.1,broken clouds
92,Nelson Bay,AU,-32.7167,152.15,75.09,73,98,3.0,light rain
93,Camacha,PT,33.0833,-16.3333,58.42,77,40,14.97,scattered clouds
94,Margate,GB,51.3813,1.3862,50.31,77,0,1.01,clear sky
95,Saint-Philippe,RE,-21.3585,55.7679,76.59,83,38,8.37,scattered clouds
96,Hay River,CA,60.8156,-115.7999,8.56,85,100,6.89,overcast clouds
97,Twentynine Palms,US,34.1356,-116.0542,87.13,13,2,1.99,clear sky
98,Neftcala,AZ,39.3742,49.2472,40.82,85,100,13.6,overcast clouds
99,Saldanha,ZA,-33.0117,17.9442,62.83,86,0,20.89,clear sky
100,Hami,CN,42.8,93.45,34.77,34,7,6.4,clear sky
101,Barrow,US,71.2906,-156.7887,3.22,72,0,17.27,haze
102,Mar Del Plata,AR,-38.0023,-57.5575,59.02,77,0,3.44,clear sky
103,Yellowknife,CA,62.456,-114.3525,7.41,62,93,11.99,overcast clouds
104,Roncesvalles,CO,4.0108,-75.6049,55.47,95,83,0.74,broken clouds
105,Tokmak,UA,47.2514,35.7058,35.58,67,0,3.47,clear sky
106,Hofn,IS,64.2539,-15.2082,38.73,76,100,17.34,overcast clouds
107,Itoman,JP,26.1247,127.6694,73.42,70,75,20.71,broken clouds
108,Najran,SA,17.4924,44.1277,70.45,39,2,3.04,clear sky
109,Chuy,UY,-33.6971,-53.4616,63.32,54,37,11.14,scattered clouds
110,Atar,MR,20.5169,-13.0499,69.03,29,0,11.05,clear sky
111,Keningau,MY,5.3378,116.1602,73.87,96,97,2.01,overcast clouds
112,Harper,LR,4.375,-7.7169,79.65,87,14,4.47,few clouds
113,Khatanga,RU,71.9667,102.5,-10.64,99,100,2.28,overcast clouds
114,Seydisehir,TR,37.4193,31.8453,25.38,90,22,3.69,few clouds
115,Socorro,US,31.6546,-106.3033,76.1,9,0,10.36,clear sky
116,Hinton,CA,53.4001,-117.5857,37.26,51,79,3.33,broken clouds
117,Macon,US,39.8667,-88.9668,44.35,81,75,11.5,broken clouds
118,Mahibadhoo,MV,3.7833,72.9667,82.42,66,19,14.74,few clouds
119,Hithadhoo,MV,-0.6,73.0833,83.61,67,40,21.14,scattered clouds
120,Groningen,NL,53.25,6.75,44.04,86,0,4.7,clear sky
121,East London,ZA,-33.0153,27.9116,68.52,76,26,14.07,scattered clouds
122,Leningradskiy,RU,69.3833,178.4167,-7.37,97,97,8.57,overcast clouds
123,Beira,MZ,-19.8436,34.8389,73.45,92,4,7.9,clear sky
124,Butaritari,KI,3.0707,172.7902,80.58,71,98,13.31,overcast clouds
125,Kotelnich,RU,58.3089,48.348,33.49,96,98,10.42,light snow
126,Rusera,IN,25.75,86.0333,72.14,22,2,5.59,clear sky
127,Hillsborough,US,37.5741,-122.3794,75.33,81,75,26.46,mist
128,Yarada,IN,17.65,83.2667,79.12,94,40,2.3,mist
129,Sogne,NO,58.0833,7.8167,41.7,82,71,9.22,broken clouds
130,Kapaa,US,22.0752,-159.319,80.58,76,75,19.57,broken clouds
131,Esso,RU,55.9333,158.7,15.73,78,41,3.36,scattered clouds
132,Sitka,US,57.0531,-135.33,46.29,61,100,19.57,overcast clouds
133,Kodiak,US,57.79,-152.4072,35.11,93,100,9.22,mist
134,Sakaiminato,JP,35.55,133.2333,51.8,54,76,4.16,broken clouds
135,Acapulco,MX,16.8634,-99.8901,78.62,73,0,8.05,clear sky
136,Mehamn,NO,71.0357,27.8492,25.38,85,99,30.74,light snow
137,Narsaq,GL,60.9167,-46.05,34.02,73,100,7.87,overcast clouds
138,Port Macquarie,AU,-31.4333,152.9167,72.9,87,100,2.95,overcast clouds
139,Longyearbyen,SJ,78.2186,15.6401,-2.36,71,40,5.75,scattered clouds
140,Kenai,US,60.5544,-151.2583,42.03,61,100,25.32,overcast clouds
141,Culebra,PR,18.303,-65.301,78.84,73,1,22.53,clear sky
142,Brae,GB,60.3964,-1.353,47.62,94,84,16.98,broken clouds
143,Puerto El Triunfo,SV,13.2833,-88.55,83.79,68,40,9.73,scattered clouds
144,Atambua,ID,-9.1061,124.8925,77.25,81,49,0.11,scattered clouds
145,Tuatapere,NZ,-46.1333,167.6833,64.22,47,22,1.77,few clouds
146,Luderitz,NA,-26.6481,15.1594,63.82,81,0,16.2,clear sky
147,Chokurdakh,RU,70.6333,147.9167,-7.29,99,95,0.94,overcast clouds
148,Carnarvon,AU,-24.8667,113.6333,82.18,72,83,11.39,broken clouds
149,Labuhan,ID,-6.8844,112.2051,79.54,85,99,5.23,light rain
150,Aklavik,CA,68.2191,-135.0107,4.39,86,63,12.62,broken clouds
151,Hambantota,LK,6.1241,81.1185,77.47,83,55,7.81,broken clouds
152,Quatre Cocos,MU,-20.2078,57.7625,76.08,73,26,9.19,scattered clouds
153,Olafsvik,IS,64.8945,-23.7142,27.91,85,100,24.09,snow
154,Honiara,SB,-9.4333,159.95,85.6,66,77,3.11,broken clouds
155,Viedma,AR,-40.8135,-62.9967,58.32,66,100,23.2,overcast clouds
156,Saskylakh,RU,71.9167,114.0833,-21.71,100,98,3.71,overcast clouds
157,Fort Nelson,CA,58.8053,-122.7002,23.0,83,100,2.89,overcast clouds
158,Lavrentiya,RU,65.5833,-171.0,5.79,88,30,5.66,scattered clouds
159,Saint-Pierre,RE,-21.3393,55.4781,76.68,78,0,6.91,clear sky
160,Fallon,US,39.4735,-118.7774,78.46,15,40,4.76,scattered clouds
161,Mount Gambier,AU,-37.8333,140.7667,65.82,52,52,5.95,broken clouds
162,Nemuro,JP,43.3236,145.575,32.13,85,18,8.66,few clouds
163,Jalu,LY,29.0331,21.5482,53.42,42,1,7.63,clear sky
164,Kargasok,RU,59.0556,80.8572,14.63,100,99,4.56,overcast clouds
165,Kindu,CD,-2.95,25.95,68.11,97,95,2.82,overcast clouds
166,Kavaratti,IN,10.5669,72.642,81.91,69,6,7.81,clear sky
167,Sovetskiy,RU,61.3614,63.5842,31.71,95,100,14.61,light snow
168,Puerto Ayora,EC,-0.7393,-90.3518,79.77,79,67,8.63,light rain
