City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
198,Itupiranga,BR,74.7,broken clouds,-5.1347,-49.3267,Hotel Panorama
199,Camopi,GF,72.37,overcast clouds,3.1655,-52.3158,La pousada
203,Kupang,ID,80.58,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
205,Arraial Do Cabo,BR,76.69,clear sky,-22.9661,-42.0278,Pousada Porto Praia
207,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
208,Sulangan,PH,81.28,broken clouds,11.1373,123.7228,Maia's Beach Resort
213,Bandarbeyla,SO,76.19,few clouds,9.4942,50.8122,JABIR HOTEL
214,Mapiripan,CO,80.24,broken clouds,2.8892,-72.1256,Monserrate
215,Isangel,VU,82.35,scattered clouds,-19.55,169.2667,Tanna Lodge
218,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
219,Mount Isa,AU,87.57,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
221,Marawi,PH,72.86,overcast clouds,7.9986,124.2928,Derogongan Residence
222,Yulara,AU,78.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
228,Kalmunai,LK,77.4,clear sky,7.4167,81.8167,VS Villa
229,Pitimbu,BR,79.66,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
230,Bowen,AU,78.49,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
231,Karratha,AU,86.09,broken clouds,-20.7377,116.8463,ibis Styles Karratha
232,Richards Bay,ZA,73.4,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
233,Kloulklubed,PW,81.32,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
237,Lompoc,US,82.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
239,Bambous Virieux,MU,76.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
241,Guerrero Negro,MX,76.48,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
250,Jalingo,NG,82.81,broken clouds,8.8833,11.3667,Debright Motel
253,Kapoeta,SS,79.14,overcast clouds,4.7717,33.5903,Eastgate Hotel
254,Victoria,HK,70.97,overcast clouds,22.2855,114.1577,Mini Hotel Central
256,Tecoanapa,MX,81.36,few clouds,16.5167,-98.75,Hotel Manglares
258,Cap Malheureux,MU,76.46,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
259,Turbat,PK,79.72,clear sky,26.0023,63.044,Mubashar Quarters
274,Pandan,PH,82.24,few clouds,14.0453,124.1694,Bonifacio Lodge
279,Koutiala,ML,91.6,overcast clouds,12.3917,-5.4642,Hotel La Chaumiere
280,Manaus,BR,76.59,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
282,Porto Novo,BJ,82.49,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
286,Vao,NC,77.45,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
289,Mareeba,AU,80.65,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
294,Palwal,IN,71.46,clear sky,28.15,77.3333,Hotel Aarya
295,Parkes,AU,71.64,scattered clouds,-33.1333,148.1833,Station Motel
300,Kaya,BF,84.99,clear sky,13.0917,-1.0844,Maison de l'appelé
306,Samarai,PG,86.0,overcast clouds,-10.6167,150.6667,Nuli Sapi
315,Sotouboua,TG,79.9,broken clouds,8.5667,0.9833,Auberge Médina
318,Bambanglipuro,ID,78.67,overcast clouds,-7.95,110.2833,Puri Brata
321,Saint George,US,83.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
323,Chiang Klang,TH,75.6,broken clouds,19.2938,100.8617,Sangthong Resort
325,Tambura,SS,77.4,clear sky,5.6,27.4667,Rikito Lodge
327,Nuevitas,CU,78.03,few clouds,21.5453,-77.2644,Hotel Caonaba
328,Fare,PF,81.57,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
330,Kirakira,SB,84.0,broken clouds,-10.4544,161.9205,SanBiz Lodge
333,Phayao,TH,73.42,broken clouds,19.25,100.25,chuthagarden
335,Shenzhen,CN,70.86,overcast clouds,22.5455,114.0683,Grand Skylight
338,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
341,Wichian Buri,TH,81.28,broken clouds,15.6578,101.106,Mit Sali Hotel
342,Souillac,MU,78.08,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
343,Kulhudhuffushi,MV,82.18,few clouds,6.6221,73.07,Haajy Guest House 1
346,Huarmey,PE,71.65,broken clouds,-10.0681,-78.1522,Hotel Miramar
347,Dondo,MZ,71.26,clear sky,-19.6094,34.7431,Arco Iris
355,Cockburn Town,TC,78.03,clear sky,21.4612,-71.1419,Osprey Beach Hotel
357,Belmonte,BR,76.53,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
362,Puerto Asis,CO,74.41,few clouds,0.5133,-76.5007,Ayawaska Hostal
371,Sao Filipe,CV,70.83,clear sky,14.8961,-24.4956,Hotel Xaguate
375,Coahuayana,MX,80.4,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
376,Bubaque,GW,75.58,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
377,Rockhampton,AU,82.29,few clouds,-23.3833,150.5,Mercure Rockhampton
378,Road Town,VG,75.99,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
379,Sambava,MG,76.05,overcast clouds,-14.2667,50.1667,Melrose
380,Brownsville,US,82.35,clear sky,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
382,Mabay,PH,81.9,overcast clouds,6.0577,124.4666,Bautista Lodging House
383,Uchiza,PE,73.33,heavy intensity rain,-8.4592,-76.4633,Hotel San Pedro
384,Manokwari,ID,79.66,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
